product_id,product_name,supplier_name,supplier_location,price,rating,description,features
P001,Generators Model 901,Supplier 12,"Beijing, China",12056,4.6,"Generators designed for residential applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 82 kg, Power: 415 kW"
P002,Generators Model 286,Supplier 8,"Tokyo, Japan",1353,3.8,"Generators designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 68 kg, Power: 160 kW"
P003,Drilling Equipment Model 859,Supplier 25,"Dubai, UAE",2034,5.0,"Drilling Equipment designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 13 kg, Power: 377 kW"
P004,Bolts and Fasteners Model 828,Supplier 8,"Beijing, China",16501,4.8,"Bolts and Fasteners designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 69 kg, Power: 220 kW"
P005,Conveyors Model 522,Supplier 10,"London, UK",11436,4.2,"Conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 52 kg, Power: 66 kW"
P006,Air Compressors Model 939,Supplier 16,"Toronto, Canada",9824,4.7,"Air Compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 69 kg, Power: 93 kW"
P007,HVAC Systems Model 333,Supplier 15,"Beijing, China",7069,3.6,"HVAC Systems designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 65 kg, Power: 490 kW"
P008,Welding Machines Model 215,Supplier 21,"Mumbai, India",1484,4.1,"Welding Machines designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 62 kg, Power: 72 kW"
P009,Bolts and Fasteners Model 181,Supplier 30,"Dubai, UAE",7733,4.7,"Bolts and Fasteners designed for residential applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 44 kg, Power: 187 kW"
P010,Air Compressors Model 793,Supplier 26,"Berlin, Germany",14299,4.6,"Air Compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 30 kg, Power: 297 kW"
P011,Air Compressors Model 708,Supplier 10,"Sydney, Australia",10658,5.0,"Air Compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 82 kg, Power: 486 kW"
P012,Pumps Model 509,Supplier 26,"Mumbai, India",9401,4.2,"Pumps designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 79 kg, Power: 199 kW"
P013,Conveyors Model 174,Supplier 9,"Sydney, Australia",6752,3.7,"Conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 35 kg, Power: 76 kW"
P014,Conveyors Model 999,Supplier 16,"Tokyo, Japan",12492,4.9,"Conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 53 kg, Power: 492 kW"
P015,Industrial Valves Model 165,Supplier 11,"Beijing, China",10952,3.8,"Industrial Valves designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 32 kg, Power: 493 kW"
P016,Air Compressors Model 848,Supplier 21,"Dubai, UAE",14455,4.3,"Air Compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 22 kg, Power: 478 kW"
P017,HVAC Systems Model 664,Supplier 25,"Paris, France",18245,3.5,"HVAC Systems designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 75 kg, Power: 439 kW"
P018,Conveyors Model 777,Supplier 22,"Sydney, Australia",10898,4.1,"Conveyors designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 91 kg, Power: 256 kW"
P019,Air Compressors Model 602,Supplier 6,"Toronto, Canada",19145,4.2,"Air Compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 72 kg, Power: 224 kW"
P020,Drilling Equipment Model 124,Supplier 9,"Berlin, Germany",11506,3.5,"Drilling Equipment designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 14 kg, Power: 348 kW"
P021,Welding Machines Model 231,Supplier 16,"Sydney, Australia",8950,3.9,"Welding Machines designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 1 years, Weight: 96 kg, Power: 369 kW"
P022,Air Compressors Model 410,Supplier 20,"Tokyo, Japan",17836,4.4,"Air Compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 26 kg, Power: 70 kW"
P023,Industrial Valves Model 910,Supplier 20,"Mumbai, India",6934,3.6,"Industrial Valves designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 22 kg, Power: 466 kW"
P024,Filters Model 208,Supplier 5,"Mumbai, India",13632,4.9,"Filters designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 18 kg, Power: 267 kW"
P025,Industrial Valves Model 998,Supplier 15,"Beijing, China",6817,4.6,"Industrial Valves designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 1 years, Weight: 91 kg, Power: 232 kW"
P026,Generators Model 997,Supplier 26,"Sydney, Australia",5705,3.9,"Generators designed for industrial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 63 kg, Power: 451 kW"
P027,Drilling Equipment Model 510,Supplier 25,"Paris, France",13991,4.0,"Drilling Equipment designed for commercial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 5 years, Weight: 85 kg, Power: 181 kW"
P028,Drilling Equipment Model 421,Supplier 16,"Berlin, Germany",10841,4.0,"Drilling Equipment designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 4 years, Weight: 54 kg, Power: 417 kW"
P029,HVAC Systems Model 496,Supplier 2,"Toronto, Canada",10369,4.2,"HVAC Systems designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 95 kg, Power: 433 kW"
P030,Welding Machines Model 631,Supplier 12,"Paris, France",4947,4.7,"Welding Machines designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 3 years, Weight: 99 kg, Power: 392 kW"
P031,Welding Machines Model 805,Supplier 19,"Berlin, Germany",7232,4.9,"Welding Machines designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 1 years, Weight: 20 kg, Power: 428 kW"
P032,HVAC Systems Model 644,Supplier 21,"Tokyo, Japan",9798,4.5,"HVAC Systems designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 1 years, Weight: 95 kg, Power: 428 kW"
P033,HVAC Systems Model 782,Supplier 26,"Dubai, UAE",7617,3.6,"HVAC Systems designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 71 kg, Power: 155 kW"
P034,Filters Model 632,Supplier 23,"London, UK",13849,5.0,"Filters designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 1 years, Weight: 65 kg, Power: 307 kW"
P035,HVAC Systems Model 460,Supplier 27,"London, UK",5904,3.9,"HVAC Systems designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 1 years, Weight: 44 kg, Power: 485 kW"
P036,HVAC Systems Model 248,Supplier 3,"Sydney, Australia",9319,4.4,"HVAC Systems designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 90 kg, Power: 192 kW"
P037,Welding Machines Model 357,Supplier 8,"Sydney, Australia",9070,4.7,"Welding Machines designed for industrial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 39 kg, Power: 398 kW"
P038,Pumps Model 270,Supplier 9,"Mumbai, India",1057,4.7,"Pumps designed for industrial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 87 kg, Power: 344 kW"
P039,Bolts and Fasteners Model 932,Supplier 26,"Paris, France",16143,4.7,"Bolts and Fasteners designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 76 kg, Power: 250 kW"
