service_id,service_name,supplier_name,supplier_location,price_range,description,rating
S001,Spare Parts Supply for Drilling Equipment Model 154,Supplier 12,"Paris, France",739-5058,"Repair services provided by Supplier 12 for Drilling Equipment Model 154, ensuring high-quality support and reliability.",4.9
S002,Upgrades for Air Compressors Model 619,Supplier 2,"Toronto, Canada",2677-14155,"Repair services provided by Supplier 2 for Air Compressors Model 619, ensuring high-quality support and reliability.",3.6
S003,Calibration for HVAC Systems Model 644,Supplier 16,"Tokyo, Japan",718-6014,"Upgrades services provided by Supplier 16 for HVAC Systems Model 644, ensuring high-quality support and reliability.",3.9
S004,Upgrades for Generators Model 163,Supplier 5,"Tokyo, Japan",1900-10239,"Spare Parts Supply services provided by Supplier 5 for Generators Model 163, ensuring high-quality support and reliability.",4.5
S005,Emergency Support for Welding Machines Model 348,Supplier 5,"Sydney, Australia",4563-11752,"Repair services provided by Supplier 5 for Welding Machines Model 348, ensuring high-quality support and reliability.",4.5
S006,Repair for HVAC Systems Model 614,Supplier 10,"Sydney, Australia",3166-5213,"Upgrades services provided by Supplier 10 for HVAC Systems Model 614, ensuring high-quality support and reliability.",3.8
S007,Installation for Conveyors Model 204,Supplier 12,"Dubai, UAE",1443-17796,"Inspection services provided by Supplier 12 for Conveyors Model 204, ensuring high-quality support and reliability.",4.6
S008,Upgrades for Generators Model 107,Supplier 29,"Berlin, Germany",2431-18203,"Installation services provided by Supplier 29 for Generators Model 107, ensuring high-quality support and reliability.",4.4
S009,Calibration for Pumps Model 163,Supplier 10,"London, UK",2164-5217,"Installation services provided by Supplier 10 for Pumps Model 163, ensuring high-quality support and reliability.",4.0
S010,Emergency Support for Conveyors Model 522,Supplier 20,"Paris, France",2063-13072,"Training services provided by Supplier 20 for Conveyors Model 522, ensuring high-quality support and reliability.",4.4
S011,Installation for Welding Machines Model 654,Supplier 20,"New York, USA",4390-12549,"Emergency Support services provided by Supplier 20 for Welding Machines Model 654, ensuring high-quality support and reliability.",4.0
S012,Inspection for Air Compressors Model 619,Supplier 27,"New York, USA",1992-15676,"Consulting services provided by Supplier 27 for Air Compressors Model 619, ensuring high-quality support and reliability.",3.8
S013,Maintenance for Filters Model 821,Supplier 16,"New York, USA",2313-17058,"Training services provided by Supplier 16 for Filters Model 821, ensuring high-quality support and reliability.",4.7
S014,Emergency Support for Air Compressors Model 325,Supplier 27,"New York, USA",765-14434,"Repair services provided by Supplier 27 for Air Compressors Model 325, ensuring high-quality support and reliability.",3.5
S015,Training for Drilling Equipment Model 510,Supplier 12,"Paris, France",4954-7693,"Installation services provided by Supplier 12 for Drilling Equipment Model 510, ensuring high-quality support and reliability.",3.9
S016,Repair for HVAC Systems Model 496,Supplier 28,"Tokyo, Japan",730-10431,"Training services provided by Supplier 28 for HVAC Systems Model 496, ensuring high-quality support and reliability.",3.9
S017,Training for Drilling Equipment Model 847,Supplier 16,"Paris, France",3233-9692,"Consulting services provided by Supplier 16 for Drilling Equipment Model 847, ensuring high-quality support and reliability.",3.7
S018,Consulting for Air Compressors Model 619,Supplier 7,"Mumbai, India",3927-19896,"Repair services provided by Supplier 7 for Air Compressors Model 619, ensuring high-quality support and reliability.",4.9
S019,Consulting for Generators Model 806,Supplier 12,"Dubai, UAE",3350-7831,"Spare Parts Supply services provided by Supplier 12 for Generators Model 806, ensuring high-quality support and reliability.",5.0
S020,Spare Parts Supply for Bolts and Fasteners Model 533,Supplier 10,"London, UK",2304-13161,"Emergency Support services provided by Supplier 10 for Bolts and Fasteners Model 533, ensuring high-quality support and reliability.",4.0
S021,Calibration for Industrial Valves Model 456,Supplier 26,"Mumbai, India",4983-13811,"Training services provided by Supplier 26 for Industrial Valves Model 456, ensuring high-quality support and reliability.",4.2
S022,Inspection for Drilling Equipment Model 933,Supplier 7,"Paris, France",4163-8601,"Calibration services provided by Supplier 7 for Drilling Equipment Model 933, ensuring high-quality support and reliability.",3.7
S023,Emergency Support for Welding Machines Model 357,Supplier 7,"Toronto, Canada",1580-15192,"Upgrades services provided by Supplier 7 for Welding Machines Model 357, ensuring high-quality support and reliability.",4.3
