product_id,product_name,supplier_name,supplier_location,price,rating,description,features,type,prefixed_text,service_id,service_name,price_range
,,Supplier 12,"Paris, France",,4.9,"Repair services provided by Supplier 12 for Drilling Equipment Model 154, ensuring high-quality support and reliability.",,service,"Spare Parts Supply for Drilling Equipment Model 154 Repair services provided by Supplier 12 for Drilling Equipment Model 154, ensuring high-quality support and reliability. PriceRange:739-5058 Location:Paris, France Supplier:Supplier 12",S001,Spare Parts Supply for Drilling Equipment Model 154,739-5058
,,Supplier 2,"Toronto, Canada",,3.6,"Repair services provided by Supplier 2 for Air Compressors Model 619, ensuring high-quality support and reliability.",,service,"Upgrades for Air Compressors Model 619 Repair services provided by Supplier 2 for Air Compressors Model 619, ensuring high-quality support and reliability. PriceRange:2677-14155 Location:Toronto, Canada Supplier:Supplier 2",S002,Upgrades for Air Compressors Model 619,2677-14155
,,Supplier 16,"Tokyo, Japan",,3.9,"Upgrades services provided by Supplier 16 for HVAC Systems Model 644, ensuring high-quality support and reliability.",,service,"Calibration for HVAC Systems Model 644 Upgrades services provided by Supplier 16 for HVAC Systems Model 644, ensuring high-quality support and reliability. PriceRange:718-6014 Location:Tokyo, Japan Supplier:Supplier 16",S003,Calibration for HVAC Systems Model 644,718-6014
,,Supplier 5,"Tokyo, Japan",,4.5,"Spare Parts Supply services provided by Supplier 5 for Generators Model 163, ensuring high-quality support and reliability.",,service,"Upgrades for Generators Model 163 Spare Parts Supply services provided by Supplier 5 for Generators Model 163, ensuring high-quality support and reliability. PriceRange:1900-10239 Location:Tokyo, Japan Supplier:Supplier 5",S004,Upgrades for Generators Model 163,1900-10239
,,Supplier 5,"Sydney, Australia",,4.5,"Repair services provided by Supplier 5 for Welding Machines Model 348, ensuring high-quality support and reliability.",,service,"Emergency Support for Welding Machines Model 348 Repair services provided by Supplier 5 for Welding Machines Model 348, ensuring high-quality support and reliability. PriceRange:4563-11752 Location:Sydney, Australia Supplier:Supplier 5",S005,Emergency Support for Welding Machines Model 348,4563-11752
,,Supplier 10,"Sydney, Australia",,3.8,"Upgrades services provided by Supplier 10 for HVAC Systems Model 614, ensuring high-quality support and reliability.",,service,"Repair for HVAC Systems Model 614 Upgrades services provided by Supplier 10 for HVAC Systems Model 614, ensuring high-quality support and reliability. PriceRange:3166-5213 Location:Sydney, Australia Supplier:Supplier 10",S006,Repair for HVAC Systems Model 614,3166-5213
,,Supplier 12,"Dubai, UAE",,4.6,"Inspection services provided by Supplier 12 for Conveyors Model 204, ensuring high-quality support and reliability.",,service,"Installation for Conveyors Model 204 Inspection services provided by Supplier 12 for Conveyors Model 204, ensuring high-quality support and reliability. PriceRange:1443-17796 Location:Dubai, UAE Supplier:Supplier 12",S007,Installation for Conveyors Model 204,1443-17796
,,Supplier 29,"Berlin, Germany",,4.4,"Installation services provided by Supplier 29 for Generators Model 107, ensuring high-quality support and reliability.",,service,"Upgrades for Generators Model 107 Installation services provided by Supplier 29 for Generators Model 107, ensuring high-quality support and reliability. PriceRange:2431-18203 Location:Berlin, Germany Supplier:Supplier 29",S008,Upgrades for Generators Model 107,2431-18203
,,Supplier 10,"London, UK",,4.0,"Installation services provided by Supplier 10 for Pumps Model 163, ensuring high-quality support and reliability.",,service,"Calibration for Pumps Model 163 Installation services provided by Supplier 10 for Pumps Model 163, ensuring high-quality support and reliability. PriceRange:2164-5217 Location:London, UK Supplier:Supplier 10",S009,Calibration for Pumps Model 163,2164-5217
,,Supplier 20,"Paris, France",,4.4,"Training services provided by Supplier 20 for Conveyors Model 522, ensuring high-quality support and reliability.",,service,"Emergency Support for Conveyors Model 522 Training services provided by Supplier 20 for Conveyors Model 522, ensuring high-quality support and reliability. PriceRange:2063-13072 Location:Paris, France Supplier:Supplier 20",S010,Emergency Support for Conveyors Model 522,2063-13072
,,Supplier 20,"New York, USA",,4.0,"Emergency Support services provided by Supplier 20 for Welding Machines Model 654, ensuring high-quality support and reliability.",,service,"Installation for Welding Machines Model 654 Emergency Support services provided by Supplier 20 for Welding Machines Model 654, ensuring high-quality support and reliability. PriceRange:4390-12549 Location:New York, USA Supplier:Supplier 20",S011,Installation for Welding Machines Model 654,4390-12549
,,Supplier 27,"New York, USA",,3.8,"Consulting services provided by Supplier 27 for Air Compressors Model 619, ensuring high-quality support and reliability.",,service,"Inspection for Air Compressors Model 619 Consulting services provided by Supplier 27 for Air Compressors Model 619, ensuring high-quality support and reliability. PriceRange:1992-15676 Location:New York, USA Supplier:Supplier 27",S012,Inspection for Air Compressors Model 619,1992-15676
,,Supplier 16,"New York, USA",,4.7,"Training services provided by Supplier 16 for Filters Model 821, ensuring high-quality support and reliability.",,service,"Maintenance for Filters Model 821 Training services provided by Supplier 16 for Filters Model 821, ensuring high-quality support and reliability. PriceRange:2313-17058 Location:New York, USA Supplier:Supplier 16",S013,Maintenance for Filters Model 821,2313-17058
,,Supplier 27,"New York, USA",,3.5,"Repair services provided by Supplier 27 for Air Compressors Model 325, ensuring high-quality support and reliability.",,service,"Emergency Support for Air Compressors Model 325 Repair services provided by Supplier 27 for Air Compressors Model 325, ensuring high-quality support and reliability. PriceRange:765-14434 Location:New York, USA Supplier:Supplier 27",S014,Emergency Support for Air Compressors Model 325,765-14434
,,Supplier 12,"Paris, France",,3.9,"Installation services provided by Supplier 12 for Drilling Equipment Model 510, ensuring high-quality support and reliability.",,service,"Training for Drilling Equipment Model 510 Installation services provided by Supplier 12 for Drilling Equipment Model 510, ensuring high-quality support and reliability. PriceRange:4954-7693 Location:Paris, France Supplier:Supplier 12",S015,Training for Drilling Equipment Model 510,4954-7693
,,Supplier 28,"Tokyo, Japan",,3.9,"Training services provided by Supplier 28 for HVAC Systems Model 496, ensuring high-quality support and reliability.",,service,"Repair for HVAC Systems Model 496 Training services provided by Supplier 28 for HVAC Systems Model 496, ensuring high-quality support and reliability. PriceRange:730-10431 Location:Tokyo, Japan Supplier:Supplier 28",S016,Repair for HVAC Systems Model 496,730-10431
,,Supplier 16,"Paris, France",,3.7,"Consulting services provided by Supplier 16 for Drilling Equipment Model 847, ensuring high-quality support and reliability.",,service,"Training for Drilling Equipment Model 847 Consulting services provided by Supplier 16 for Drilling Equipment Model 847, ensuring high-quality support and reliability. PriceRange:3233-9692 Location:Paris, France Supplier:Supplier 16",S017,Training for Drilling Equipment Model 847,3233-9692
,,Supplier 7,"Mumbai, India",,4.9,"Repair services provided by Supplier 7 for Air Compressors Model 619, ensuring high-quality support and reliability.",,service,"Consulting for Air Compressors Model 619 Repair services provided by Supplier 7 for Air Compressors Model 619, ensuring high-quality support and reliability. PriceRange:3927-19896 Location:Mumbai, India Supplier:Supplier 7",S018,Consulting for Air Compressors Model 619,3927-19896
,,Supplier 12,"Dubai, UAE",,5.0,"Spare Parts Supply services provided by Supplier 12 for Generators Model 806, ensuring high-quality support and reliability.",,service,"Consulting for Generators Model 806 Spare Parts Supply services provided by Supplier 12 for Generators Model 806, ensuring high-quality support and reliability. PriceRange:3350-7831 Location:Dubai, UAE Supplier:Supplier 12",S019,Consulting for Generators Model 806,3350-7831
,,Supplier 10,"London, UK",,4.0,"Emergency Support services provided by Supplier 10 for Bolts and Fasteners Model 533, ensuring high-quality support and reliability.",,service,"Spare Parts Supply for Bolts and Fasteners Model 533 Emergency Support services provided by Supplier 10 for Bolts and Fasteners Model 533, ensuring high-quality support and reliability. PriceRange:2304-13161 Location:London, UK Supplier:Supplier 10",S020,Spare Parts Supply for Bolts and Fasteners Model 533,2304-13161
,,Supplier 26,"Mumbai, India",,4.2,"Training services provided by Supplier 26 for Industrial Valves Model 456, ensuring high-quality support and reliability.",,service,"Calibration for Industrial Valves Model 456 Training services provided by Supplier 26 for Industrial Valves Model 456, ensuring high-quality support and reliability. PriceRange:4983-13811 Location:Mumbai, India Supplier:Supplier 26",S021,Calibration for Industrial Valves Model 456,4983-13811
,,Supplier 7,"Paris, France",,3.7,"Calibration services provided by Supplier 7 for Drilling Equipment Model 933, ensuring high-quality support and reliability.",,service,"Inspection for Drilling Equipment Model 933 Calibration services provided by Supplier 7 for Drilling Equipment Model 933, ensuring high-quality support and reliability. PriceRange:4163-8601 Location:Paris, France Supplier:Supplier 7",S022,Inspection for Drilling Equipment Model 933,4163-8601
,,Supplier 7,"Toronto, Canada",,4.3,"Upgrades services provided by Supplier 7 for Welding Machines Model 357, ensuring high-quality support and reliability.",,service,"Emergency Support for Welding Machines Model 357 Upgrades services provided by Supplier 7 for Welding Machines Model 357, ensuring high-quality support and reliability. PriceRange:1580-15192 Location:Toronto, Canada Supplier:Supplier 7",S023,Emergency Support for Welding Machines Model 357,1580-15192
,,Supplier 23,"Mumbai, India",,4.9,"Inspection services provided by Supplier 23 for HVAC Systems Model 248, ensuring high-quality support and reliability.",,service,"Consulting for HVAC Systems Model 248 Inspection services provided by Supplier 23 for HVAC Systems Model 248, ensuring high-quality support and reliability. PriceRange:684-10069 Location:Mumbai, India Supplier:Supplier 23",S024,Consulting for HVAC Systems Model 248,684-10069
,,Supplier 26,"Beijing, China",,4.3,"Spare Parts Supply services provided by Supplier 26 for Bolts and Fasteners Model 205, ensuring high-quality support and reliability.",,service,"Installation for Bolts and Fasteners Model 205 Spare Parts Supply services provided by Supplier 26 for Bolts and Fasteners Model 205, ensuring high-quality support and reliability. PriceRange:633-8780 Location:Beijing, China Supplier:Supplier 26",S025,Installation for Bolts and Fasteners Model 205,633-8780
,,Supplier 1,"Mumbai, India",,4.3,"Installation services provided by Supplier 1 for Industrial Valves Model 709, ensuring high-quality support and reliability.",,service,"Installation for Industrial Valves Model 709 Installation services provided by Supplier 1 for Industrial Valves Model 709, ensuring high-quality support and reliability. PriceRange:1454-19875 Location:Mumbai, India Supplier:Supplier 1",S026,Installation for Industrial Valves Model 709,1454-19875
,,Supplier 7,"Mumbai, India",,4.4,"Emergency Support services provided by Supplier 7 for Bolts and Fasteners Model 336, ensuring high-quality support and reliability.",,service,"Maintenance for Bolts and Fasteners Model 336 Emergency Support services provided by Supplier 7 for Bolts and Fasteners Model 336, ensuring high-quality support and reliability. PriceRange:3426-18118 Location:Mumbai, India Supplier:Supplier 7",S027,Maintenance for Bolts and Fasteners Model 336,3426-18118
