product_id,product_name,supplier_name,supplier_location,price,rating,description,features,type,prefixed_text,service_id,service_name,price_range
P001,Generators Model 901,Supplier 12,"Beijing, China",12056.0,4.6,"Generators designed for residential applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 82 kg, Power: 415 kW",product,"Generators Model 901 Generators designed for residential applications, with advanced features for durability and efficiency. Price:12056 Rating:4.6 Location:Beijing, China",,,
P002,Generators Model 286,Supplier 8,"Tokyo, Japan",1353.0,3.8,"Generators designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 68 kg, Power: 160 kW",product,"Generators Model 286 Generators designed for commercial applications, with advanced features for durability and efficiency. Price:1353 Rating:3.8 Location:Tokyo, Japan",,,
P003,Drilling Equipment Model 859,Supplier 25,"Dubai, UAE",2034.0,5.0,"Drilling Equipment designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 13 kg, Power: 377 kW",product,"Drilling Equipment Model 859 Drilling Equipment designed for commercial applications, with advanced features for durability and efficiency. Price:2034 Rating:5.0 Location:Dubai, UAE",,,
P004,Bolts and Fasteners Model 828,Supplier 8,"Beijing, China",16501.0,4.8,"Bolts and Fasteners designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 69 kg, Power: 220 kW",product,"Bolts and Fasteners Model 828 Bolts and Fasteners designed for commercial applications, with advanced features for durability and efficiency. Price:16501 Rating:4.8 Location:Beijing, China",,,
P005,Conveyors Model 522,Supplier 10,"London, UK",11436.0,4.2,"Conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 52 kg, Power: 66 kW",product,"Conveyors Model 522 Conveyors designed for commercial applications, with advanced features for durability and efficiency. Price:11436 Rating:4.2 Location:London, UK",,,
P006,Air Compressors Model 939,Supplier 16,"Toronto, Canada",9824.0,4.7,"Air Compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 69 kg, Power: 93 kW",product,"Air Compressors Model 939 Air Compressors designed for residential applications, with advanced features for durability and efficiency. Price:9824 Rating:4.7 Location:Toronto, Canada",,,
P007,HVAC Systems Model 333,Supplier 15,"Beijing, China",7069.0,3.6,"HVAC Systems designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 65 kg, Power: 490 kW",product,"HVAC Systems Model 333 HVAC Systems designed for industrial applications, with advanced features for durability and efficiency. Price:7069 Rating:3.6 Location:Beijing, China",,,
P008,Welding Machines Model 215,Supplier 21,"Mumbai, India",1484.0,4.1,"Welding Machines designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 62 kg, Power: 72 kW",product,"Welding Machines Model 215 Welding Machines designed for commercial applications, with advanced features for durability and efficiency. Price:1484 Rating:4.1 Location:Mumbai, India",,,
P009,Bolts and Fasteners Model 181,Supplier 30,"Dubai, UAE",7733.0,4.7,"Bolts and Fasteners designed for residential applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 44 kg, Power: 187 kW",product,"Bolts and Fasteners Model 181 Bolts and Fasteners designed for residential applications, with advanced features for durability and efficiency. Price:7733 Rating:4.7 Location:Dubai, UAE",,,
P010,Air Compressors Model 793,Supplier 26,"Berlin, Germany",14299.0,4.6,"Air Compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 30 kg, Power: 297 kW",product,"Air Compressors Model 793 Air Compressors designed for commercial applications, with advanced features for durability and efficiency. Price:14299 Rating:4.6 Location:Berlin, Germany",,,
P011,Air Compressors Model 708,Supplier 10,"Sydney, Australia",10658.0,5.0,"Air Compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 82 kg, Power: 486 kW",product,"Air Compressors Model 708 Air Compressors designed for commercial applications, with advanced features for durability and efficiency. Price:10658 Rating:5.0 Location:Sydney, Australia",,,
P012,Pumps Model 509,Supplier 26,"Mumbai, India",9401.0,4.2,"Pumps designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 79 kg, Power: 199 kW",product,"Pumps Model 509 Pumps designed for commercial applications, with advanced features for durability and efficiency. Price:9401 Rating:4.2 Location:Mumbai, India",,,
P013,Conveyors Model 174,Supplier 9,"Sydney, Australia",6752.0,3.7,"Conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 35 kg, Power: 76 kW",product,"Conveyors Model 174 Conveyors designed for commercial applications, with advanced features for durability and efficiency. Price:6752 Rating:3.7 Location:Sydney, Australia",,,
P014,Conveyors Model 999,Supplier 16,"Tokyo, Japan",12492.0,4.9,"Conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 53 kg, Power: 492 kW",product,"Conveyors Model 999 Conveyors designed for commercial applications, with advanced features for durability and efficiency. Price:12492 Rating:4.9 Location:Tokyo, Japan",,,
P015,Industrial Valves Model 165,Supplier 11,"Beijing, China",10952.0,3.8,"Industrial Valves designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 32 kg, Power: 493 kW",product,"Industrial Valves Model 165 Industrial Valves designed for commercial applications, with advanced features for durability and efficiency. Price:10952 Rating:3.8 Location:Beijing, China",,,
P016,Air Compressors Model 848,Supplier 21,"Dubai, UAE",14455.0,4.3,"Air Compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 22 kg, Power: 478 kW",product,"Air Compressors Model 848 Air Compressors designed for residential applications, with advanced features for durability and efficiency. Price:14455 Rating:4.3 Location:Dubai, UAE",,,
P017,HVAC Systems Model 664,Supplier 25,"Paris, France",18245.0,3.5,"HVAC Systems designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 75 kg, Power: 439 kW",product,"HVAC Systems Model 664 HVAC Systems designed for commercial applications, with advanced features for durability and efficiency. Price:18245 Rating:3.5 Location:Paris, France",,,
P018,Conveyors Model 777,Supplier 22,"Sydney, Australia",10898.0,4.1,"Conveyors designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 91 kg, Power: 256 kW",product,"Conveyors Model 777 Conveyors designed for residential applications, with advanced features for durability and efficiency. Price:10898 Rating:4.1 Location:Sydney, Australia",,,
P019,Air Compressors Model 602,Supplier 6,"Toronto, Canada",19145.0,4.2,"Air Compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 72 kg, Power: 224 kW",product,"Air Compressors Model 602 Air Compressors designed for commercial applications, with advanced features for durability and efficiency. Price:19145 Rating:4.2 Location:Toronto, Canada",,,
P020,Drilling Equipment Model 124,Supplier 9,"Berlin, Germany",11506.0,3.5,"Drilling Equipment designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 14 kg, Power: 348 kW",product,"Drilling Equipment Model 124 Drilling Equipment designed for industrial applications, with advanced features for durability and efficiency. Price:11506 Rating:3.5 Location:Berlin, Germany",,,
