product_id,product_name,supplier_name,supplier_location,price,rating,description,features,type,prefixed_text,service_id,service_name,price_range
P001,generators model 901,Supplier 12,"beijing, china",12056.0,4.6,"generators designed for residential applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 82 kg, Power: 415 kW",product,"generators model 901 generators designed for residential applications, with advanced features for durability and efficiency. price:12056 rating:4.6 location:beijing, china",,,
P002,generators model 286,Supplier 8,"tokyo, japan",1353.0,3.8,"generators designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 68 kg, Power: 160 kW",product,"generators model 286 generators designed for commercial applications, with advanced features for durability and efficiency. price:1353 rating:3.8 location:tokyo, japan",,,
P003,drilling equipment model 859,Supplier 25,"dubai, uae",2034.0,5.0,"drilling equipment designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 13 kg, Power: 377 kW",product,"drilling equipment model 859 drilling equipment designed for commercial applications, with advanced features for durability and efficiency. price:2034 rating:5.0 location:dubai, uae",,,
P004,bolts and fasteners model 828,Supplier 8,"beijing, china",16501.0,4.8,"bolts and fasteners designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 69 kg, Power: 220 kW",product,"bolts and fasteners model 828 bolts and fasteners designed for commercial applications, with advanced features for durability and efficiency. price:16501 rating:4.8 location:beijing, china",,,
P005,conveyors model 522,Supplier 10,"london, uk",11436.0,4.2,"conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 1 years, Weight: 52 kg, Power: 66 kW",product,"conveyors model 522 conveyors designed for commercial applications, with advanced features for durability and efficiency. price:11436 rating:4.2 location:london, uk",,,
P006,air compressors model 939,Supplier 16,"toronto, canada",9824.0,4.7,"air compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 4 years, Weight: 69 kg, Power: 93 kW",product,"air compressors model 939 air compressors designed for residential applications, with advanced features for durability and efficiency. price:9824 rating:4.7 location:toronto, canada",,,
P007,hvac systems model 333,Supplier 15,"beijing, china",7069.0,3.6,"hvac systems designed for industrial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 65 kg, Power: 490 kW",product,"hvac systems model 333 hvac systems designed for industrial applications, with advanced features for durability and efficiency. price:7069 rating:3.6 location:beijing, china",,,
P008,welding machines model 215,Supplier 21,"mumbai, india",1484.0,4.1,"welding machines designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 62 kg, Power: 72 kW",product,"welding machines model 215 welding machines designed for commercial applications, with advanced features for durability and efficiency. price:1484 rating:4.1 location:mumbai, india",,,
P009,bolts and fasteners model 181,Supplier 30,"dubai, uae",7733.0,4.7,"bolts and fasteners designed for residential applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 44 kg, Power: 187 kW",product,"bolts and fasteners model 181 bolts and fasteners designed for residential applications, with advanced features for durability and efficiency. price:7733 rating:4.7 location:dubai, uae",,,
P010,air compressors model 793,Supplier 26,"berlin, germany",14299.0,4.6,"air compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 30 kg, Power: 297 kW",product,"air compressors model 793 air compressors designed for commercial applications, with advanced features for durability and efficiency. price:14299 rating:4.6 location:berlin, germany",,,
P011,air compressors model 708,Supplier 10,"sydney, australia",10658.0,5.0,"air compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 82 kg, Power: 486 kW",product,"air compressors model 708 air compressors designed for commercial applications, with advanced features for durability and efficiency. price:10658 rating:5.0 location:sydney, australia",,,
P012,pumps model 509,Supplier 26,"mumbai, india",9401.0,4.2,"pumps designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 5 years, Weight: 79 kg, Power: 199 kW",product,"pumps model 509 pumps designed for commercial applications, with advanced features for durability and efficiency. price:9401 rating:4.2 location:mumbai, india",,,
P013,conveyors model 174,Supplier 9,"sydney, australia",6752.0,3.7,"conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 35 kg, Power: 76 kW",product,"conveyors model 174 conveyors designed for commercial applications, with advanced features for durability and efficiency. price:6752 rating:3.7 location:sydney, australia",,,
P014,conveyors model 999,Supplier 16,"tokyo, japan",12492.0,4.9,"conveyors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 53 kg, Power: 492 kW",product,"conveyors model 999 conveyors designed for commercial applications, with advanced features for durability and efficiency. price:12492 rating:4.9 location:tokyo, japan",,,
P015,industrial valves model 165,Supplier 11,"beijing, china",10952.0,3.8,"industrial valves designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 3 years, Weight: 32 kg, Power: 493 kW",product,"industrial valves model 165 industrial valves designed for commercial applications, with advanced features for durability and efficiency. price:10952 rating:3.8 location:beijing, china",,,
P016,air compressors model 848,Supplier 21,"dubai, uae",14455.0,4.3,"air compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 22 kg, Power: 478 kW",product,"air compressors model 848 air compressors designed for residential applications, with advanced features for durability and efficiency. price:14455 rating:4.3 location:dubai, uae",,,
P017,hvac systems model 664,Supplier 25,"paris, france",18245.0,3.5,"hvac systems designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 2 years, Weight: 75 kg, Power: 439 kW",product,"hvac systems model 664 hvac systems designed for commercial applications, with advanced features for durability and efficiency. price:18245 rating:3.5 location:paris, france",,,
P018,conveyors model 777,Supplier 22,"sydney, australia",10898.0,4.1,"conveyors designed for residential applications, with advanced features for durability and efficiency.","Material: Steel, Warranty: 2 years, Weight: 91 kg, Power: 256 kW",product,"conveyors model 777 conveyors designed for residential applications, with advanced features for durability and efficiency. price:10898 rating:4.1 location:sydney, australia",,,
P019,air compressors model 602,Supplier 6,"toronto, canada",19145.0,4.2,"air compressors designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 4 years, Weight: 72 kg, Power: 224 kW",product,"air compressors model 602 air compressors designed for commercial applications, with advanced features for durability and efficiency. price:19145 rating:4.2 location:toronto, canada",,,
P020,drilling equipment model 124,Supplier 9,"berlin, germany",11506.0,3.5,"drilling equipment designed for industrial applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 14 kg, Power: 348 kW",product,"drilling equipment model 124 drilling equipment designed for industrial applications, with advanced features for durability and efficiency. price:11506 rating:3.5 location:berlin, germany",,,
P021,welding machines model 231,Supplier 16,"sydney, australia",8950.0,3.9,"welding machines designed for commercial applications, with advanced features for durability and efficiency.","Material: Plastic, Warranty: 1 years, Weight: 96 kg, Power: 369 kW",product,"welding machines model 231 welding machines designed for commercial applications, with advanced features for durability and efficiency. price:8950 rating:3.9 location:sydney, australia",,,
P022,air compressors model 410,Supplier 20,"tokyo, japan",17836.0,4.4,"air compressors designed for residential applications, with advanced features for durability and efficiency.","Material: Aluminum, Warranty: 2 years, Weight: 26 kg, Power: 70 kW",product,"air compressors model 410 air compressors designed for residential applications, with advanced features for durability and efficiency. price:17836 rating:4.4 location:tokyo, japan",,,
